CODE_DEPARTEMENT;NOM_DEPARTEMENT;;POPULATION;SUPERFICIE;COORDONNEE
77;SEINE-ET-MARNE;;1365;2502.0;46.7978117313, -1.15305050455
77;SEINE-ET-MARNE;;1436;2342.0;46.7975257829, -1.12869398785
51;MARNE;;296;1527.0;46.7975257829, -1.12869398785
10;AUBE;;238;774.0;46.8503434916, -1.1761947178
10;AUBE;;1812;1010.0;46.860417324, -1.09914446817
10;AUBE;;94;1864.0;46.554142133, -1.06126324427
10;AUBE;;918;2078.0;46.8224469621, -1.35879380362
10;AUBE;;126;717.0;46.7400439461, -1.08600899478
51;MARNE;;40;1537.0;46.5407502649, -1.6183438116
51;MARNE;;117;1063.0;46.7204931682, -1.90072890671
2;AISNE;;49;223.0;46.8503434916, -1.1761947178
77;SEINE-ET-MARNE;;941;1510.0;46.8293618536, -0.882590487822
2;AISNE;;64;405.0;46.8689147548, -1.75871569875
2;AISNE;;65;350.0;47.6665170183, -1.66894323324
2;AISNE;;616;1382.0;47.2874582487, -2.38067254239
2;AISNE;;2088;1316.0;46.9920383504, -1.5963650626
2;AISNE;;169;298.0;47.4329565011, -1.23052285043
2;AISNE;;505;964.0;46.9649972237, -1.57742657584
2;AISNE;;303;737.0;47.5194024892, -1.29584033279
2;AISNE;;683;1748.0;47.4753214275, -1.75534589039
2;AISNE;;1151;1365.0;47.4607094498, -1.27663443804
2;AISNE;;82;485.0;47.8110830506, -1.06624578458
8;ARDENNES;;697;3683.0;47.4083392774, -0.760706509086
80;SOMME;;839;663.0;47.2016302634, -0.994612817542
2;AISNE;;594;1228.0;47.3113969017, -0.835247162713
27;EURE;;1134;1678.0;47.5844107731, -0.761815340111
61;ORNE;;365;1298.0;47.7573412779, -0.489988968418
61;ORNE;;309;1055.0;47.2218319863, -1.04295978761
28;EURE-ET-LOIR;;510;2778.0;47.3171532674, -0.803816987889
61;ORNE;;172;964.0;47.2652804686, -1.2442825531
61;ORNE;;603;1173.0;47.1370997843, -0.893211173486
72;SARTHE;;3653;2297.0;47.2666802081, -0.826721819761
72;SARTHE;;453;636.0;47.0906466555, -1.06418673206
72;SARTHE;;1835;801.0;47.2316146312, -1.11544963125
61;ORNE;;241;1207.0;47.0906466555, -1.06418673206
61;ORNE;;198;1253.0;47.4083392774, -0.760706509086
61;ORNE;;982;1282.0;47.1508930617, -1.01727454909
28;EURE-ET-LOIR;;436;2143.0;47.4593680543, -0.668931192134
6;ALPES-MARITIMES;;173;4056.0;47.1419216856, -0.697807828683
83;VAR;;12155;10693.0;47.5207242687, -0.885680565015
36;INDRE;;262;2270.0;47.1814589572, 5.03277253316
57;MOSELLE;;205;602.0;47.4119509203, 2.9244326259
5;HAUTES-ALPES;;57;2145.0;47.3841067799, 3.6931235335
59;NORD;;13366;1065.0;46.4115190828, 4.30850974872
33;GIRONDE;;41358;831.0;47.861306842, -2.88736144781
29;FINISTERE;;435;586.0;47.8548197668, -2.83433281359
24;DORDOGNE;;1574;6142.0;47.8548197668, -2.83433281359
21;COTE-D'OR;;96;1132.0;47.9885416609, -2.83201931007
41;LOIR-ET-CHER;;273;838.0;48.0666659313, -2.88120120566
78;YVELINES;;7730;985.0;47.9309084612, -2.39915399793
28;EURE-ET-LOIR;;3091;3357.0;47.8640356506, -2.31869257036
28;EURE-ET-LOIR;;391;842.0;48.1408186239, -3.60730142895
41;LOIR-ET-CHER;;161;490.0;47.9367459556, -2.56493194219
28;EURE-ET-LOIR;;159;1343.0;47.9048194747, -2.12182639962
45;LOIRET;;19807;2333.0;48.0478997339, -3.64371274235
28;EURE-ET-LOIR;;187;1348.0;47.7893379891, -3.48865741032
28;EURE-ET-LOIR;;831;951.0;48.1186226665, -3.23342018462
28;EURE-ET-LOIR;;653;1323.0;48.1186226665, -3.23342018462
28;EURE-ET-LOIR;;1870;2017.0;48.1047941388, -3.49335201339
28;EURE-ET-LOIR;;289;1033.0;48.1047941388, -3.49335201339
78;YVELINES;;1259;1979.0;47.9194192936, -2.82055398267
28;EURE-ET-LOIR;;269;1991.0;47.9944098952, -3.43239155938
28;EURE-ET-LOIR;;622;686.0;48.1392566024, -2.46117813385
78;YVELINES;;6680;1350.0;47.9068494335, -2.9801853207
28;EURE-ET-LOIR;;27;389.0;47.6309965935, -2.28591652681
77;SEINE-ET-MARNE;;375;646.0;48.0433477742, -2.99128872272
77;SEINE-ET-MARNE;;287;920.0;48.0020117637, -2.58243030583
77;SEINE-ET-MARNE;;827;786.0;48.1047941388, -3.49335201339
45;LOIRET;;274;654.0;48.0834097423, -2.28417256412
45;LOIRET;;347;1471.0;47.9149823554, -3.33387760378
45;LOIRET;;782;3785.0;47.6329593303, -2.52470442653
45;LOIRET;;252;619.0;47.8791787746, -2.77241358892
91;ESSONNE;;463;601.0;47.8791787746, -2.77241358892
91;ESSONNE;;140;484.0;48.0421189645, -2.4048738983
91;ESSONNE;;728;1468.0;47.8640356506, -2.31869257036
91;ESSONNE;;632;2093.0;47.9194192936, -2.82055398267
91;ESSONNE;;291;1500.0;48.0666659313, -2.88120120566
91;ESSONNE;;76;397.0;48.0340475421, -2.76788253804
91;ESSONNE;;699;355.0;47.9908782798, -2.38500324625
91;ESSONNE;;52349;855.0;47.8548197668, -2.83433281359
27;EURE;;562;1264.0;47.741429912, -2.91614082833
14;CALVADOS;;149;1085.0;48.0567762587, -3.41394764032
61;ORNE;;167;1788.0;47.9342424609, -2.89878436569
61;ORNE;;595;2180.0;48.0687689284, -2.75151528814
27;EURE;;303;1541.0;47.6842596362, -2.21451256864
27;EURE;;104;1145.0;47.7459010287, -2.25369844698
27;EURE;;461;1745.0;47.7032835314, -2.65130842801
27;EURE;;323;909.0;47.8601051488, -2.2360862124
27;EURE;;3258;2766.0;47.989366559, -2.68510340192
27;EURE;;2890;1168.0;47.9816069608, -3.06726209763
27;EURE;;99;113.0;47.6359130742, -2.16488661637
27;EURE;;1076;1023.0;48.47092316, -2.51100575975
91;ESSONNE;;3637;1371.0;48.5410370343, -2.43365235653
91;ESSONNE;;2268;537.0;48.2409964586, -2.8848741842
77;SEINE-ET-MARNE;;460;161.0;48.2354469898, -2.73344647539
77;SEINE-ET-MARNE;;2572;1913.0;48.2409964586, -2.8848741842
14;CALVADOS;;545;1844.0;48.3073038907, -2.95375770116
14;CALVADOS;;190;458.0;48.3558758342, -2.55227152509
14;CALVADOS;;214;1247.0;48.5410370343, -2.43365235653
14;CALVADOS;;92;839.0;48.2230348395, -3.39546023136
61;ORNE;;215;609.0;48.4835869368, -3.378916318
14;CALVADOS;;2183;1227.0;48.6352228715, -3.21097410763
14;CALVADOS;;384;745.0;48.1773554945, -2.59372843675
14;CALVADOS;;52;348.0;48.2354469898, -2.73344647539
14;CALVADOS;;709;1240.0;48.47092316, -2.51100575975
27;EURE;;247;717.0;48.4295054139, -2.17793457778
76;SEINE-MARITIME;;8101;583.0;48.6401026399, -3.37162874559
76;SEINE-MARITIME;;679;667.0;48.2259782219, -3.09676415273
76;SEINE-MARITIME;;610;969.0;48.3131172489, -1.89790479561
27;EURE;;139;248.0;47.7985611404, 1.71450163239
76;SEINE-MARITIME;;395;401.0;48.1873386701, 2.32391555315
76;SEINE-MARITIME;;804;1535.0;47.8334460976, 2.22580618045
76;SEINE-MARITIME;;1375;1026.0;48.041179367, 3.05929060691
76;SEINE-MARITIME;;577;699.0;47.8649162873, 2.21911100322
76;SEINE-MARITIME;;759;452.0;47.7956431072, 2.1977098164
76;SEINE-MARITIME;;527;815.0;41.6792957238, 9.31757177152
76;SEINE-MARITIME;;1469;508.0;44.7431578644, -0.68477929863
76;SEINE-MARITIME;;2265;504.0;44.4281610528, -0.490639335732
76;SEINE-MARITIME;;480;312.0;48.2410927429, -2.80093753575
78;YVELINES;;28980;430.0;48.5793426291, -3.86305154179
80;SOMME;;238;952.0;48.5298228086, -4.11645772131
78;YVELINES;;21132;587.0;48.4993838359, -4.50561652751
60;OISE;;957;880.0;48.4993838359, -4.50561652751
60;OISE;;269;1647.0;48.1039602945, -3.97766784877
80;SOMME;;1719;2393.0;48.0198124778, -4.26596643594
27;EURE;;608;803.0;48.2262324273, -3.72893716631
28;EURE-ET-LOIR;;1748;1299.0;48.5793803626, -4.21054490484
28;EURE-ET-LOIR;;1186;1024.0;48.301914035, -3.89511935616
27;EURE;;1204;1222.0;48.570052756, -4.52204887765
27;EURE;;521;506.0;48.4705178502, -4.09361341894
27;EURE;;378;483.0;48.2770088055, -4.04936601327
78;YVELINES;;115;289.0;48.1816178391, -4.02730923192
27;EURE;;239;589.0;47.8140487225, -3.63079292835
27;EURE;;24112;3431.0;48.2007202723, -3.55459425813
95;VAL-D'OISE;;60528;1454.0;48.2007202723, -3.55459425813
78;YVELINES;;590;770.0;47.9825443939, -4.27070118903
78;YVELINES;;6467;1337.0;48.5368022635, -4.31048416181
78;YVELINES;;3216;289.0;48.484230271, -4.24566849175
78;YVELINES;;4055;369.0;48.6568788677, -4.17629537794
78;YVELINES;;596;305.0;48.5137456673, -4.21264212854
95;VAL-D'OISE;;238;441.0;48.5137456673, -4.21264212854
76;SEINE-MARITIME;;200;1325.0;48.5137456673, -4.21264212854
76;SEINE-MARITIME;;246;1083.0;48.2986513193, -3.59080587111
76;SEINE-MARITIME;;512;1039.0;48.6174614567, -4.21109598465
76;SEINE-MARITIME;;333;1128.0;48.5298340492, -4.45289680161
60;OISE;;256;614.0;48.5786849555, -4.03765793667
60;OISE;;601;851.0;47.9169121463, -4.36316711143
60;OISE;;1772;2005.0;47.8448957918, -3.69506856843
42;LOIRE;;694;587.0;48.0273266037, -3.69921503573
29;FINISTERE;;2679;1366.0;48.1920222894, -3.71695515876
18;CHER;;704;2602.0;48.1920222894, -3.71695515876
52;HAUTE-MARNE;;159;358.0;47.9674137649, -3.93540997819
62;PAS-DE-CALAIS;;197;415.0;48.0240908411, -3.82505626191
33;GIRONDE;;1323;244.0;48.0340475421, -2.76788253804
22;COTES-D'ARMOR;;67;342.0;47.8453156794, -2.72228185396
2A;CORSE-DU-SUD;;112;1133.0;48.0353504374, -3.27138279024
26;DROME;;1280;896.0;47.7502539349, -3.18768807652
14;CALVADOS;;310;674.0;48.0834097423, -2.28417256412
62;PAS-DE-CALAIS;;279;480.0;47.9194192936, -2.82055398267
42;LOIRE;;3705;662.0;47.9885416609, -2.83201931007
56;MORBIHAN;;619;326.0;48.0567762587, -3.41394764032
31;HAUTE-GARONNE;;432;714.0;47.9834661517, -2.03298522765
88;VOSGES;;53;395.0;47.9672775414, -1.21285307491
57;MOSELLE;;325;822.0;48.6047553787, -1.72163176008
57;MOSELLE;;5692;681.0;48.1777319751, -2.17244341568
25;DOUBS;;785;597.0;48.5590128495, 3.2927220578
6;ALPES-MARITIMES;;29343;939.0;48.6276975901, 2.09700720441
12;AVEYRON;;112;701.0;49.1262942675, 1.89016276606
30;GARD;;3209;1289.0;49.165731504, 2.2474394951
64;PYRENEES-ATLANTIQUES;;1288;1619.0;49.3165964281, 1.77393756468
63;PUY-DE-DOME;;423;1127.0;49.6546507813, 2.51269908823
31;HAUTE-GARONNE;;130;553.0;49.6546507813, 2.51269908823
24;DORDOGNE;;111;624.0;50.0221549425, 3.98152961664
39;JURA;;2018;773.0;49.2719201771, 3.35168777108
39;JURA;;65;363.0;49.3909297803, 3.62575798257
70;HAUTE-SAONE;;373;766.0;49.9326422425, 3.62135959339
84;VAUCLUSE;;2927;1646.0;49.6898827225, 3.43424611881
49;MAINE-ET-LOIRE;;768;1694.0;49.758333275, 3.68248007985
14;CALVADOS;;168;719.0;49.8890156162, 3.24397565569
54;MEURTHE-ET-MOSELLE;;175;547.0;49.7819499629, 3.89874135155
81;TARN;;440;645.0;49.8175420564, 3.60493459668
62;PAS-DE-CALAIS;;1596;897.0;48.2409964586, -2.8848741842
80;SOMME;;196;290.0;48.4233139617, -3.00130336459
35;ILLE-ET-VILAINE;;1340;2078.0;48.1421548056, -2.54355236927
39;JURA;;191;521.0;48.2893307063, -2.15354716988
74;HAUTE-SAVOIE;;2889;4402.0;48.4021229832, -2.57459007377
68;HAUT-RHIN;;338;436.0;48.2409964586, -2.8848741842
70;HAUTE-SAONE;;83;382.0;48.2797569645, -2.70182975957
56;MORBIHAN;;951;2006.0;48.5410370343, -2.43365235653
14;CALVADOS;;122;244.0;48.284290992, -2.41591302615
49;MAINE-ET-LOIRE;;392;812.0;48.4296552417, -2.5406338422
73;SAVOIE;;503;617.0;48.2016063828, -2.98662775118
67;BAS-RHIN;;623;566.0;48.4021229832, -2.57459007377
50;MANCHE;;323;341.0;48.240846519, -3.12384718726
65;HAUTES-PYRENEES;;500;882.0;48.5144858647, -2.33609252453
35;ILLE-ET-VILAINE;;3738;3163.0;48.2230348395, -3.39546023136
83;VAR;;324;5206.0;48.3175299966, -3.06073300551
6;ALPES-MARITIMES;;5443;493.0;48.6043651879, -3.02018571116
12;AVEYRON;;127;1233.0;47.5405067329, -2.32378079353
49;MAINE-ET-LOIRE;;2970;993.0;47.6611862138, -2.45259662562
6;ALPES-MARITIMES;;38;1315.0;47.7117806601, -2.51458073218
65;HAUTES-PYRENEES;;54;1221.0;47.7789839192, -2.69320841077
19;CORREZE;;151;1463.0;47.9048194747, -2.12182639962
66;PYRENEES-ORIENTALES;;91;5079.0;47.8171910353, -2.28079376577
64;PYRENEES-ATLANTIQUES;;329;1481.0;47.6611862138, -2.45259662562
24;DORDOGNE;;346;653.0;47.8453156794, -2.72228185396
24;DORDOGNE;;228;840.0;47.9101641505, -2.72313773463
11;AUDE;;42;741.0;48.0020117637, -2.58243030583
11;AUDE;;428;555.0;48.7151550736, 0.709140871191
1;AIN;;984;1467.0;47.861306842, -2.88736144781
69;RHONE;;280;484.0;47.6309965935, -2.28591652681
39;JURA;;184;914.0;47.8165671095, -2.8130075938
81;TARN;;373;724.0;47.8722269939, -2.20828237275
67;BAS-RHIN;;428;730.0;47.9574785946, -2.97305444084
79;DEUX-SEVRES;;293;2026.0;48.0020117637, -2.58243030583
39;JURA;;160;683.0;47.9068494335, -2.9801853207
62;PAS-DE-CALAIS;;369;370.0;47.7117806601, -2.51458073218
17;CHARENTE-MARITIME;;103;428.0;48.1408186239, -3.60730142895
7;ARDECHE;;1292;1981.0;48.0687689284, -2.75151528814
49;MAINE-ET-LOIRE;;3092;2119.0;47.87811454, -2.59549258986
44;LOIRE-ATLANTIQUE;;1991;5400.0;48.0020117637, -2.58243030583
29;FINISTERE;;1344;1193.0;47.6611862138, -2.45259662562
80;SOMME;;476;982.0;47.9048194747, -2.12182639962
22;COTES-D'ARMOR;;137;1290.0;48.1392566024, -2.46117813385
31;HAUTE-GARONNE;;420;746.0;47.8791787746, -2.77241358892
24;DORDOGNE;;448;389.0;47.8448171771, -3.26521394492
31;HAUTE-GARONNE;;11828;1944.0;48.0353504374, -3.27138279024
7;ARDECHE;;281;497.0;48.0901359699, -3.56170057688
32;GERS;;96;371.0;47.9261485472, -3.04567314316
83;VAR;;55402;13361.0;47.8640356506, -2.31869257036
83;VAR;;55402;13361.0;48.0478997339, -3.64371274235
83;VAR;;55402;13361.0;48.1408186239, -3.60730142895
18;CHER;;144;1777.0;47.8381514679, -2.63978588385
14;CALVADOS;;635;1225.0;47.8453156794, -2.72228185396
4;ALPES-DE-HAUTE-PROVENCE;;16844;10959.0;48.1047941388, -3.49335201339
3;ALLIER;;347;1526.0;47.9568073828, -2.43686229213
4;ALPES-DE-HAUTE-PROVENCE;;87;2318.0;47.6775625235, -2.29714071685
54;MEURTHE-ET-MOSELLE;;4891;430.0;48.0834097423, -2.28417256412
14;CALVADOS;;302;274.0;47.8171910353, -2.28079376577
18;CHER;;378;1008.0;48.9066716309, 3.18178343082
23;CREUSE;;1300;155.0;48.6276975901, 2.09700720441
14;CALVADOS;;815;273.0;47.8245422409, -1.84272237076
71;SAONE-ET-LOIRE;;335;1362.0;48.2712307376, -1.85439544076
84;VAUCLUSE;;2684;659.0;48.2000960506, -2.04707315795
88;VOSGES;;641;370.0;48.4627116649, -1.44307448271
18;CHER;;5590;6168.0;47.8538426303, -1.22429542283
70;HAUTE-SAONE;;324;716.0;48.131371956, -2.22143658187
64;PYRENEES-ATLANTIQUES;;148;1043.0;48.3131172489, -1.89790479561
61;ORNE;;476;1273.0;48.0656356731, -1.97993698972
50;MANCHE;;572;1514.0;48.2000960506, -2.04707315795
61;ORNE;;2377;948.0;48.1764857539, -1.30352557966
61;ORNE;;980;2670.0;48.5737112886, -3.60939530926
50;MANCHE;;302;899.0;48.0804261896, -4.41449877681
61;ORNE;;995;2219.0;48.2837871435, -4.10679951196
50;MANCHE;;3358;2499.0;48.2837871435, -4.10679951196
14;CALVADOS;;329;760.0;47.9062051678, -3.83573951164
76;SEINE-MARITIME;;231;1125.0;48.0240908411, -3.82505626191
50;MANCHE;;453;1205.0;48.1905629614, -4.06186828615
50;MANCHE;;37121;1587.0;48.2483633218, -4.49020183291
50;MANCHE;;1454;2060.0;48.1701462061, -3.97166325275
50;MANCHE;;1196;2986.0;48.1701462061, -3.97166325275
14;CALVADOS;;5279;1246.0;48.301914035, -3.89511935616
14;CALVADOS;;139;557.0;48.2551201909, -3.89019970475
58;NIEVRE;;339;3295.0;48.1919251651, -3.89754805935
21;COTE-D'OR;;877;1933.0;48.1816178391, -4.02730923192
21;COTE-D'OR;;254;2783.0;48.2261848844, -3.96926993451
71;SAONE-ET-LOIRE;;241;2808.0;48.2261848844, -3.96926993451
71;SAONE-ET-LOIRE;;540;1167.0;48.2261848844, -3.96926993451
57;MOSELLE;;319;890.0;48.2261848844, -3.96926993451
57;MOSELLE;;142;1404.0;48.2261848844, -3.96926993451
57;MOSELLE;;138;1562.0;48.2261848844, -3.96926993451
67;BAS-RHIN;;1589;2928.0;48.2261848844, -3.96926993451
67;BAS-RHIN;;1703;1442.0;48.6625451395, -4.10256976729
67;BAS-RHIN;;1145;937.0;48.6625451395, -4.10256976729
52;HAUTE-MARNE;;116;2154.0;48.6625451395, -4.10256976729
57;MOSELLE;;533;1804.0;48.3393648101, -3.64170103589
52;HAUTE-MARNE;;159;3767.0;48.3393648101, -3.64170103589
68;HAUT-RHIN;;6114;960.0;48.6644578472, -4.04426201314
57;MOSELLE;;538;642.0;48.609267257, -4.29950560047
59;NORD;;15865;1157.0;48.609267257, -4.29950560047
80;SOMME;;2546;803.0;48.2743245052, -3.6287503253
62;PAS-DE-CALAIS;;505;1279.0;48.2743245052, -3.6287503253
59;NORD;;1848;1514.0;48.2007202723, -3.55459425813
62;PAS-DE-CALAIS;;674;1534.0;48.5693234221, -4.41946575442
80;SOMME;;122;545.0;48.4654566103, -4.56885087767
62;PAS-DE-CALAIS;;2460;1890.0;47.9001499042, -3.44339118946
62;PAS-DE-CALAIS;;1420;1026.0;47.8971643123, -3.52365546024
59;NORD;;1804;1381.0;47.9595617684, -3.5358315598
62;PAS-DE-CALAIS;;10006;3326.0;47.9595617684, -3.5358315598
62;PAS-DE-CALAIS;;9119;1447.0;47.8140487225, -3.63079292835
50;MANCHE;;533;1663.0;48.0610722196, -3.83038608545
50;MANCHE;;549;1265.0;47.9953086024, -3.8905372581
14;CALVADOS;;11562;2271.0;47.9953086024, -3.8905372581
14;CALVADOS;;1044;910.0;47.9584603474, -3.62432271799
97;REUNION;;104646;24051.0;48.0273266037, -3.69921503573
62;PAS-DE-CALAIS;;320;805.0;48.5298228086, -4.11645772131
59;NORD;;20536;690.0;48.4927660947, -4.03985164449
59;NORD;;4424;806.0;48.4927660947, -4.03985164449
2;AISNE;;1098;1178.0;48.4927660947, -4.03985164449
59;NORD;;909;1214.0;48.4705178502, -4.09361341894
59;NORD;;2519;1137.0;48.4705178502, -4.09361341894
62;PAS-DE-CALAIS;;219;1164.0;48.5137456673, -4.21264212854
59;NORD;;1547;1617.0;48.5137456673, -4.21264212854
62;PAS-DE-CALAIS;;4719;1433.0;48.5137456673, -4.21264212854
80;SOMME;;273;779.0;48.5137456673, -4.21264212854
59;NORD;;2470;1913.0;48.4468177396, -4.00561533227
59;NORD;;90995;4298.0;48.5103539768, -4.15467866829
59;NORD;;1409;2530.0;48.5509197391, -3.96276373884
59;NORD;;4450;704.0;48.5509197391, -3.96276373884
2;AISNE;;285;1405.0;48.5509197391, -3.96276373884
62;PAS-DE-CALAIS;;235;1003.0;48.5050848086, -3.87655499139
80;SOMME;;1357;2025.0;48.5050848086, -3.87655499139
97;GUYANE;;2483;62626.0;48.5050848086, -3.87655499139
97;GUYANE;;25490;228512.0;48.6285150712, -3.98722636695
97;GUYANE;;;;48.5786849555, -4.03765793667
97;GUYANE;;;934;48.5786849555, -4.03765793667
54;MEURTHE-ET-MOSELLE;;6884;2399.0;48.5786849555, -4.03765793667
55;MEUSE;;38;2949.0;48.5786849555, -4.03765793667
67;BAS-RHIN;;4171;3404.0;48.5786849555, -4.03765793667
67;BAS-RHIN;;2737;1416.0;48.5786849555, -4.03765793667
55;MEUSE;;65;546.0;48.5786849555, -4.03765793667
67;BAS-RHIN;;174;1195.0;48.5793803626, -4.21054490484
57;MOSELLE;;312;484.0;48.6568788677, -4.17629537794
54;MEURTHE-ET-MOSELLE;;884;705.0;48.6210708161, -4.25993380443
88;VOSGES;;729;1749.0;48.5618238748, -4.14038764243
88;VOSGES;;6633;2385.0;48.5618238748, -4.14038764243
55;MEUSE;;1549;6393.0;48.5618238748, -4.14038764243
57;MOSELLE;;41325;4988.0;48.4136828223, -3.95678495949
57;MOSELLE;;41325;4988.0;48.4055220731, -4.07796749198
55;MEUSE;;1722;2978.0;48.4055220731, -4.07796749198
88;VOSGES;;457;1533.0;48.3982834725, -4.26686158841
52;HAUTE-MARNE;;66;512.0;48.3265476446, -4.15993112307
52;HAUTE-MARNE;;327;1673.0;48.3265476446, -4.15993112307
52;HAUTE-MARNE;;327;1673.0;48.3703440971, -4.21191490517
57;MOSELLE;;103;1539.0;47.996035964, -4.02772110542
88;VOSGES;;1999;1547.0;48.1024885886, -4.0008992766
88;VOSGES;;3069;1548.0;48.1039602945, -3.97766784877
54;MEURTHE-ET-MOSELLE;;8389;1567.0;48.2553207278, -3.82706960489
55;MEUSE;;609;3421.0;48.1920222894, -3.71695515876
57;MOSELLE;;1921;733.0;48.1920222894, -3.71695515876
88;VOSGES;;2327;4919.0;48.1803793507, -4.22894917307
55;MEUSE;;163;1902.0;48.1248499508, -4.21928157169
88;VOSGES;;149;752.0;48.2021242074, -4.28338330913
52;HAUTE-MARNE;;52;1736.0;48.2641791787, -4.19441880129
88;VOSGES;;503;1961.0;48.2770088055, -4.04936601327
55;MEUSE;;171;1424.0;48.238552444, -4.06393513778
52;HAUTE-MARNE;;88;526.0;48.5212651619, -3.71277433443
57;MOSELLE;;224;871.0;48.5793426291, -3.86305154179
88;VOSGES;;5318;2417.0;48.4468177396, -4.00561533227
60;OISE;;613;604.0;48.0664779741, -3.91126868738
60;OISE;;1011;942.0;48.5687911268, -3.70234837016
60;OISE;;406;1016.0;48.5687911268, -3.70234837016
60;OISE;;168;433.0;48.5687911268, -3.70234837016
60;OISE;;585;976.0;48.647384624, -3.71693596331
80;SOMME;;2853;2542.0;48.6931377315, -3.7740185669
60;OISE;;759;1302.0;48.4442666452, -3.58429324458
60;OISE;;233;267.0;48.5212651619, -3.71277433443
60;OISE;;524;355.0;48.4319952843, -3.67974642517
60;OISE;;325;515.0;48.4319952843, -3.67974642517
60;OISE;;172;298.0;48.245903939, -4.31693684074
80;SOMME;;72;237.0;48.245903939, -4.31693684074
80;SOMME;;618;924.0;48.6044661935, -3.90092181709
10;AUBE;;105;432.0;48.6044661935, -3.90092181709
52;HAUTE-MARNE;;440;1267.0;48.6044661935, -3.90092181709
89;YONNE;;331;747.0;48.4021269893, -3.7521405117
89;YONNE;;1147;3590.0;48.3518029428, -3.696221957
89;YONNE;;2366;2408.0;47.9825443939, -4.27070118903
89;YONNE;;751;5734.0;47.9825443939, -4.27070118903
10;AUBE;;143;429.0;47.9825443939, -4.27070118903
21;COTE-D'OR;;223;320.0;48.0180266742, -4.21125436807
21;COTE-D'OR;;69;1413.0;48.0180266742, -4.21125436807
2;AISNE;;185;677.0;47.9543271495, -4.36012043953
2;AISNE;;54;624.0;47.9025940281, -4.28199478942
10;AUBE;;383;1919.0;47.9169121463, -4.36316711143
77;SEINE-ET-MARNE;;6794;1671.0;47.9169121463, -4.36316711143
77;SEINE-ET-MARNE;;6794;1671.0;48.4489138709, -4.15958953906
77;SEINE-ET-MARNE;;1024;1056.0;48.4534983846, -4.14185284355
77;SEINE-ET-MARNE;;693;1858.0;48.4534983846, -4.14185284355
27;EURE;;1029;1418.0;48.484230271, -4.24566849175
27;EURE;;163;286.0;48.4796357224, -4.33641474285
27;EURE;;1208;2255.0;48.4021706198, -4.72288317928
14;CALVADOS;;90;322.0;48.5317893607, -4.73270025534
14;CALVADOS;;1551;5556.0;48.4993838359, -4.50561652751
61;ORNE;;82;969.0;48.5340908249, -4.37245215721
14;CALVADOS;;232;533.0;48.5340908249, -4.37245215721
14;CALVADOS;;286;852.0;48.5024897713, -4.42625032088
14;CALVADOS;;2183;1227.0;48.6065506172, -4.50746118243
14;CALVADOS;;242;978.0;47.8554552995, -3.74769874547
27;EURE;;630;943.0;48.480430857, -3.79622196179
27;EURE;;1067;1313.0;48.7499322232, -3.28184685611
27;EURE;;243;1302.0;48.5660143935, -3.33872329624
61;ORNE;;267;1627.0;48.5606651502, -2.37515540403
14;CALVADOS;;998;871.0;48.4021229832, -2.57459007377
27;EURE;;65;275.0;48.579606318, -2.13973030487
14;CALVADOS;;301;620.0;48.2724621789, -3.10504200794
27;EURE;;429;703.0;48.6261468467, -2.40417823314
14;CALVADOS;;200;353.0;48.517347817, -3.03158832618
27;EURE;;322;752.0;48.7969891637, -3.24148858195
14;CALVADOS;;615;390.0;48.4835869368, -3.378916318
14;CALVADOS;;671;1403.0;48.4806957679, -2.16881815242
27;EURE;;329;1172.0;48.1760258754, -2.75400390991
27;EURE;;4994;1669.0;48.5700048438, -2.18196845617
76;SEINE-MARITIME;;17315;1649.0;48.5705152026, -2.81868818831
27;EURE;;176;332.0;48.3092689122, -3.31829786109
27;EURE;;1366;491.0;48.3723460044, -2.49674345779
27;EURE;;977;1525.0;48.3073038907, -2.95375770116
10;AUBE;;221;1072.0;48.6401026399, -3.37162874559
77;SEINE-ET-MARNE;;612;662.0;48.5606651502, -2.37515540403
77;SEINE-ET-MARNE;;808;1171.0;48.6558107078, -3.05812526202
89;YONNE;;372;462.0;48.3907076978, -3.0041697311
89;YONNE;;1534;2146.0;48.4296552417, -2.5406338422
89;YONNE;;1043;1708.0;48.4911018678, -2.60093548091
10;AUBE;;1033;1850.0;48.4481372691, -2.38816509907
10;AUBE;;291;1106.0;48.5586915892, -3.10541824081
10;AUBE;;502;1962.0;48.6122392923, -3.47356122615
51;MARNE;;496;1388.0;48.2294155043, -2.85624788327
2;AISNE;;62;499.0;48.2509637589, -2.29403124704
2;AISNE;;287;572.0;48.4481620909, -3.12033666786
2;AISNE;;1314;1727.0;48.4291553007, -2.91355527607
2;AISNE;;668;453.0;48.3111537406, -2.87274454735
77;SEINE-ET-MARNE;;790;1627.0;48.3186793609, -3.06377017313
2;AISNE;;82;413.0;48.6401026399, -3.37162874559
2;AISNE;;260;1128.0;48.3786628882, -2.97000143767
51;MARNE;;2855;2259.0;48.6261468467, -2.40417823314
2;AISNE;;969;2030.0;48.7034719662, -3.10663551692
2;AISNE;;130;659.0;47.7928778802, -2.59230429542
2;AISNE;;263;1005.0;47.741429912, -2.91614082833
2;AISNE;;131;577.0;47.9574785946, -2.97305444084
2;AISNE;;429;2872.0;47.8333907362, -3.15810054387
51;MARNE;;542;1823.0;47.9885416609, -2.83201931007
51;MARNE;;889;538.0;47.9342650335, -2.67666534094
